af,asn_v4,asn_v6,country_code,dist,dst_addr,dst_lat,dst_lon,from,fw,group_id,lts,msm_id,msm_name,prb_id,proto,rt,src_addr,src_lat,src_lon,timestamp,type
4,36483,36483,CA,3358.8729084960078,199.4.144.2,33.942536,-118.408075,208.70.247.155,4680,1911041,195,1911041,Tdig,2793,UDP,36.627,208.70.247.155,59.9985,-94.9985,1427540878,dns
4,852,,CA,1737.3581953817195,199.4.144.2,33.942536,-118.408075,207.81.7.139,4680,1911041,343,1911041,Tdig,3704,UDP,43.858,192.168.1.64,49.1695,-123.1325,1427540852,dns
4,5645,6939,CA,2091.535698632164,199.4.144.2,45.470556,-73.740833,135.23.234.114,4680,1911041,399,1911041,Tdig,3790,UDP,25.091,199.212.90.65,37.9975,-96.9985,1427540856,dns
4,6327,,CA,1933.0729245899054,199.4.144.2,33.942536,-118.408075,184.64.26.246,4680,1911041,379,1911041,Tdig,4326,UDP,72.497,10.0.1.107,51.0405,-114.0915,1427540820,dns
4,26546,,CA,6.708874605055319,199.4.144.2,51.113888,-114.020278,208.94.30.62,4680,1911041,221,1911041,Tdig,4368,UDP,13.555,192.168.1.139,51.0915,-114.1095,1427540857,dns
4,22652,,CA,14.924701122983079,199.4.144.2,45.470556,-73.740833,173.231.112.178,4680,1911041,325,1911041,Tdig,4599,UDP,7.301,192.168.1.139,45.5115,-73.5585,1427540843,dns
4,46609,46609,CA,15.562324602022313,199.4.144.2,45.470556,-73.740833,206.125.166.212,4680,1911041,78,1911041,Tdig,10477,UDP,1.298,206.125.166.212,45.5105,-73.5495,1427540885,dns
4,5645,,CA,478.86659831067914,199.4.144.2,45.470556,-73.740833,69.165.236.183,4680,1911041,77,1911041,Tdig,11009,UDP,16.707,192.168.1.27,43.7415,-79.2825,1427540884,dns
4,22684,,CA,3803.315855545765,199.4.144.2,33.942536,-118.408075,65.181.47.37,4680,1911041,85,1911041,Tdig,11153,UDP,96.894,65.181.47.37,45.3085,-75.9005,1427540886,dns
4,5645,,CA,153.13219398449215,199.4.144.2,45.470556,-73.740833,24.246.2.189,4680,1911041,86,1911041,Tdig,11209,UDP,24.045,10.100.104.48,45.4215,-75.7025,1427540902,dns
4,6327,,CA,1940.3955395334697,199.4.144.2,33.942536,-118.408075,174.0.61.134,4680,1911041,422,1911041,Tdig,1137,UDP,66.458,172.16.1.25,51.1105,-114.1115,1427540886,dns
4,5645,,CA,483.93559026392404,199.4.144.2,45.470556,-73.740833,24.246.74.48,4680,1911041,220,1911041,Tdig,11792,UDP,21.636,192.168.0.10,43.8785,-79.4385,1427540888,dns
4,40788,40788,CA,311.2716031138687,199.4.144.2,43.677223,-79.630556,108.170.167.13,4680,1911041,122,1911041,Tdig,11864,UDP,29.306,192.168.1.191,45.8295,-77.1095,1427540896,dns
4,577,,CA,150.88081611122263,199.4.144.2,43.677223,-79.630556,64.229.122.2,4680,1911041,118,1911041,Tdig,11876,UDP,10.013,192.168.2.11,42.9905,-81.2395,1427540893,dns
4,852,,CA,1752.825093813276,199.4.144.2,33.942536,-118.408075,154.5.19.45,4680,1911041,46,1911041,Tdig,11967,UDP,35.873,192.168.1.131,49.3305,-123.0295,1427540884,dns
4,16796,16796,CA,14.026788593426122,199.4.144.2,49.910036,-97.239886,216.73.79.42,4680,1911041,89,1911041,Tdig,12093,UDP,1.761,216.73.79.42,49.7985,-97.1485,1427540898,dns
4,62752,62752,CA,11.712849711876224,199.4.144.2,49.910036,-97.239886,198.51.75.25,4680,1911041,278,1911041,Tdig,12095,UDP,2.726,198.51.75.25,49.8395,-97.1185,1427540908,dns
4,855,,CA,4800.646847862596,199.4.144.2,51.505278,0.055278,108.175.81.69,4680,1911041,84,1911041,Tdig,12109,UDP,78.934,172.16.16.26,46.4815,-67.7725,1427540896,dns
4,7057,,CA,1914.4046957382218,199.4.144.2,25.79325,-80.290556,98.143.65.35,4680,1911041,25,1911041,Tdig,12369,UDP,69.598,10.0.1.5,42.9915,-81.2495,1427540907,dns
4,852,,CA,1800.0324542154626,199.4.144.2,33.942536,-118.408075,216.57.186.184,4680,1911041,15,1911041,Tdig,12694,UDP,132.383,192.168.1.4,49.1495,-125.8985,1427540893,dns
4,577,,CA,503.05564558275546,199.4.144.2,43.677223,-79.630556,174.94.94.96,4680,1911041,34,1911041,Tdig,12895,UDP,21.56,192.168.2.25,45.4895,-73.8085,1427540911,dns
4,812,812,CA,11.416370376286258,199.4.144.2,43.677223,-79.630556,99.242.86.41,4680,1911041,125,1911041,Tdig,13112,UDP,18.027,192.168.0.10,43.6785,-79.7725,1427540908,dns
4,10566,10566,CA,520.6473867243875,199.4.144.2,43.677223,-79.630556,206.123.31.60,4680,1911041,120,1911041,Tdig,13132,UDP,34.023,206.123.31.60,45.4985,-73.5715,1427540904,dns
4,10566,10566,CA,743.2835750280396,199.4.144.2,43.677223,-79.630556,206.123.31.115,4680,1911041,78,1911041,Tdig,13182,UDP,66.524,206.123.31.115,46.7985,-71.2285,1427540888,dns
4,10570,21640,CA,366.53988799777284,199.4.144.2,43.677223,-79.630556,192.231.228.11,4680,1911041,104,1911041,Tdig,13330,UDP,20.121,192.231.228.11,45.4175,-75.7015,1427540898,dns
4,577,,CA,517.8253946706436,199.4.144.2,43.677223,-79.630556,70.52.30.195,4680,1911041,84,1911041,Tdig,13356,UDP,16.499,192.168.2.13,45.4805,-73.6005,1427540890,dns
4,11814,,CA,9.787434269284585,199.4.144.2,43.677223,-79.630556,99.230.135.89,4680,1911041,84,1911041,Tdig,14255,UDP,22.082,192.168.1.166,43.5895,-79.6405,1427540887,dns
4,6327,,CA,1725.5935761926255,199.4.144.2,33.942536,-118.408075,96.48.158.145,4680,1911041,118,1911041,Tdig,14361,UDP,53.765,10.0.42.50,49.1075,-122.8495,1427540892,dns
4,1403,,CA,2274.9252827513315,199.4.144.2,25.79325,-80.290556,96.127.192.38,4680,1911041,113,1911041,Tdig,14385,UDP,54.197,192.168.3.151,45.5395,-73.6185,1427540902,dns
4,19171,19171,CA,1742.1634843629422,199.4.144.2,33.942536,-118.408075,98.143.95.38,4680,1911041,102,1911041,Tdig,14779,UDP,34.602,98.143.95.38,49.2415,-122.9695,1427540891,dns
4,6939,6939,CA,1939.3874583109148,199.4.144.2,25.79325,-80.290556,209.51.186.5,4680,1911041,239,1911041,Tdig,14846,UDP,50.224,192.168.1.100,43.2305,-79.8605,1427540900,dns
4,3491,,CA,1986.2900930771855,199.4.144.2,25.79325,-80.290556,63.218.26.90,4680,1911041,116,1911041,Tdig,14927,UDP,50.885,63.218.26.90,43.6405,-79.3815,1427540891,dns
4,5645,,CA,578.3321724880785,199.4.144.2,45.470556,-73.740833,76.10.130.45,4680,1911041,17,1911041,Tdig,15050,UDP,20.064,192.168.1.130,43.5975,-80.5505,1427540891,dns
4,40788,,CA,94.45025713705513,199.4.144.2,43.677223,-79.630556,24.53.255.116,4680,1911041,46,1911041,Tdig,15053,UDP,34.465,192.168.0.100,43.4785,-80.7705,1427540916,dns
